reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,200201 (USD Thousand),200202 (USD Thousand),200203 (USD Thousand),200204 (USD Thousand),200301 (USD Thousand),200302 (USD Thousand),200303 (USD Thousand),200304 (USD Thousand),200401 (USD Thousand),200402 (USD Thousand),200403 (USD Thousand),200404 (USD Thousand),200501 (USD Thousand),200502 (USD Thousand),200503 (USD Thousand),200504 (USD Thousand),200601 (USD Thousand),200602 (USD Thousand),200603 (USD Thousand),200604 (USD Thousand),200701 (USD Thousand),200702 (USD Thousand),200703 (USD Thousand),200704 (USD Thousand),200801 (USD Thousand),200802 (USD Thousand),200803 (USD Thousand),200804 (USD Thousand),200901 (USD Thousand),200902 (USD Thousand),200903 (USD Thousand),200904 (USD Thousand),201001 (USD Thousand),201002 (USD Thousand),201003 (USD Thousand),201004 (USD Thousand),201101 (USD Thousand),201102 (USD Thousand),201103 (USD Thousand),201104 (USD Thousand),201201 (USD Thousand),201202 (USD Thousand),201203 (USD Thousand),201204 (USD Thousand),201301 (USD Thousand),201302 (USD Thousand),201303 (USD Thousand),201304 (USD Thousand),201401 (USD Thousand),201402 (USD Thousand),201403 (USD Thousand),201404 (USD Thousand),201501 (USD Thousand),201502 (USD Thousand),201503 (USD Thousand),201504 (USD Thousand),201601 (USD Thousand),201602 (USD Thousand),201603 (USD Thousand),201604 (USD Thousand),201701 (USD Thousand),201702 (USD Thousand),201703 (USD Thousand),201704 (USD Thousand),201801 (USD Thousand),201802 (USD Thousand),201803 (USD Thousand),201804 (USD Thousand),201901 (USD Thousand),201902 (USD Thousand),201903 (USD Thousand),201904 (USD Thousand),202001 (USD Thousand),202002 (USD Thousand),202003 (USD Thousand),202004 (USD Thousand),202101 (USD Thousand),202102 (USD Thousand),202103 (USD Thousand),202104 (USD Thousand),202201 (USD Thousand),202202 (USD Thousand),202203 (USD Thousand),202204 (USD Thousand),202301 (USD Thousand),202302 (USD Thousand),202303 (USD Thousand),202304 (USD Thousand),202401 (USD Thousand),202402 (USD Thousand),202403 (USD Thousand),202404 (USD Thousand),202501 (USD Thousand),202502 (USD Thousand),202503 (USD Thousand),202504 (USD Thousand),202601 (USD Thousand),202602 (USD Thousand)
439956,timor leste import,626,Timor-Leste,9006,"Cámaras fotográficas; aparatos y dispositivos, incl. las lámparas y tubos, para producir destellos para fotografía (exc. lámparas y tubos eléctricos de incandescencia o de descarga)",,,,,,,,,,,2,2,,,,,2,8,,,,17,,,,1,,6,,17,,2,3,2,,,,162,25,1,5,1,,,7,2,,,,58,,1,,,,4,8,,14,26,1,,34,4,4,5,3,,10,,7,5,3,3,36,1,3,5,9,16,,5,2,94,6,18,2,54,24,11,11,13,26,11,6,7,4,10
439956,timor leste import,626,Timor-Leste,7117,Bisutería,,,,,,,,,,0,,,,,3,2,,,2,4,2,4,,,2,4,,9,14,24,14,10,45,70,78,65,1,,,,0,1,0,0,2,0,2,45,1,,3,2,1,,4,26,2,11,18,28,20,14,9,1,3,11,5,5,13,18,20,39,9,19,34,28,34,10,57,36,42,17,38,34,27,34,22,53,27,53,133,75,47,59,95,68,31,43
439956,timor leste import,626,Timor-Leste,8525,"Aparatos emisores de radiotelefonía, radiotelegrafía, radiodifusión o televisión, incl. con aparato receptor o de grabación o reproducción de sonido incorporado; cámaras de televisión; videocámaras, incl. las de imagen fija; cámaras digitales",,,,,,,,,13,7,,,55,,0,,23,141,1568,124,8,120,23,14,95,71,335,106,137,4,212,33,27,60,105,142,46,37,47,32,126,113,67,71,40,78,184,43,48,42,331,177,250,45,119,165,54,97,106,45,81,28,34,91,54,241,248,28,130,11,145,627,45,97,53,23,20,33,22,73,37,31,66,160,67,34,14,53,119,34,169,37,26,135,100,133,29,729
439956,timor leste import,626,Timor-Leste,7019,"Fibra de vidrio, incl. la lana de vidrio, y manufacturas de esta materia ""p.ej. hilados o tejidos"" (exc. lanas minerales y sus manufacturas; fibras ópticas, haces y cables de fibras ópticas; aisladores eléctricos y piezas aislantes; brochas y pinceles de fibra de vidrio y pelucas para muñecas)",,,,,,,,,,,,,,,,,,,,,,,,,,12,3,8,,,1,,4,2,1,,3,5,61,,,44,2,34,35,11,2,1,,,,37,,102,11,7,8,13,3,3,2,3,12,,6,,,7,2,13,12,18,,24,4,16,,44,7,4,32,19,24,1,5,14,8,52,10,12,76,74,31,62,22,8,24,17
439956,timor leste import,626,Timor-Leste,1107,"Malta ""de cebada u otros cereales"", incl. tostada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,33,,41,40,,14,,,82,,,,14,,,,7,41,,9,9,9,18,71,,16,,16,,51,51,52,32,67,30,21,27,,9,13
439956,timor leste import,626,Timor-Leste,2209,Vinagre y sucedáneos del vinagre obtenidos a partir del ácido acético,,,,,,,,,,,,,,,,,,,,,,,,,3,4,10,7,4,1,7,15,5,3,8,14,7,9,19,18,3,36,12,15,7,11,5,17,8,5,10,6,14,4,8,27,22,5,12,17,11,16,23,21,25,7,20,19,9,17,28,14,12,4,14,19,7,14,38,13,6,11,15,52,7,31,48,51,39,9,15,20,4,6,10,15,11,3
439956,timor leste import,626,Timor-Leste,7212,"Productos planos de hierro o acero sin alear, de anchura < 600 mm, chapados o revestidos",,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,9,,,6,190,67,68,33,1,19,3,,0,32,,24,8,41,50,2,14,26,21,13,147,82,73,7,74,,4,4,16,19,13,33,27,18,139,1,132,43,147,8,26,30,45,1,141,437,,31,25,67,51,28,46,46,66,180,273,305,415,397,521
439956,timor leste import,626,Timor-Leste,8204,"Llaves de ajuste de mano, incl. las llaves dinamométricas, de metal común; cubos  de ajuste intercambiables, incl. con mango, de metal común",,,,,,,,,,,,,,,,,,,,,,1,,,5,3,5,1,19,24,21,12,11,18,10,24,22,3,1,15,4,15,26,21,18,16,12,17,5,,46,17,21,28,37,7,41,8,3,37,11,14,8,4,9,18,2,18,24,17,17,26,2,16,22,30,46,47,48,54,12,25,39,114,59,61,77,51,40,57,61,56,59,98,105,158,85,103
439956,timor leste import,626,Timor-Leste,9105,"Relojes (exc. relojes de pulsera, bolsillo y relojes simil., relojes con pequeño mecanismo de relojería y relojes de tablero de instrumentos y relojes simil.)",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,12,5,5,4,12,29,47,17,25,2,31,2,8,1,28,10,3,1,6,1,1,1,10,4,22,1,55,25,6,22,20,90,26,15,3,39,28,6,,3,4,5,11,22,3,,20,9,2,3,14,21,5,3,23,3,8,11,25,50,7,8,38,21,9,18,15,15,10,8
439956,timor leste import,626,Timor-Leste,2204,"Vino de uvas frescas, incl. encabezado; mosto de uva, parcialmente fermentado y de grado alcohólico adquirido > 0,5% vol o de grado adquirido de alcohol añadido > 0,5% vol",,,,,,,,,66,34,33,41,21,11,48,49,63,19,40,50,87,81,105,128,106,121,56,119,99,79,191,188,37,75,167,154,55,166,173,21,80,69,155,306,81,159,29,88,52,72,62,137,92,37,49,160,7,111,58,86,57,19,22,98,35,125,97,29,2,94,35,57,78,17,70,72,39,2,8,30,40,107,10,335,56,63,98,49,127,9,37,127,157,32,87,22,67,18
439956,timor leste import,626,Timor-Leste,8402,"Calderas de vapor ""generadores de vapor"" (exc. las de calefacción central concebidas para producir agua caliente y también vapor a baja presión); calderas denominadas ""de agua sobrecalentada""; sus partes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,0,0,,0,0,15,49,,,9,30,30,5,1,,,3,,138,2,,,,,,,,,3,,1,,,,,,30,,,,,,,24,69,24,68,49,25,34,32,36,209,31,41,1,7,22
439956,timor leste import,626,Timor-Leste,2005,"Hortalizas, incl. ""silvestres"", preparadas o conservadas sin vinagre ni ácido acético, sin congelar (exc. confitadas con azúcar, así como tomates, setas y trufas)",,,,,,,,,9,5,,,,1,1,,,6,,,,,,2,,,1,,,79,,,,1,1,16,8,27,26,38,144,27,52,20,15,57,19,16,15,38,52,39,35,36,20,68,35,27,40,36,46,18,19,67,27,53,33,24,39,38,32,47,19,27,30,43,14,36,43,59,47,47,54,119,36,35,55,48,50,47,68,77,90,52,49,33,123,46
439956,timor leste import,626,Timor-Leste,6804,"Muelas y artículos simil., sin bastidor, para triturar, desfibrar, triturar, afilar, pulir, rectificar, cortar o trocear, piedras de afilar o pulir a mano y sus partes, de piedra natural, de abrasivos naturales o artificiales aglomerados o de cerámica, incl. con partes de las demás materias (exc. piedra pómez perfumada, así como pequeñas muelas especiales para tornos de dentista)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,1,15,1,1,4,3,2,3,12,21,0,10,0,3,13,14,5,3,5,2,4,9,7,6,13,5,24,1,15,1,2,9,12,1,5,2,11,9,16,4,22,9,16,8,9,15,17,7,15,66,22,24,16,25,48,14,59,45,71,24,106,31,17,36,30
439956,timor leste import,626,Timor-Leste,8207,"Útiles intercambiables para herramientas de mano, incl. mecánicas, o para máquinas herramienta ""p.ej. de embutir, estampar, punzonar, roscar ""incl. aterrajar"", taladrar, escariar, brochar, fresar, tornear, atornillar"", incl. las hileras de extrudir metal, así como los útiles de perforación o sondeo",,,,,,,,,,,,,,,,,,,,,,1,2,9,1,48,2,4,,19,2,38,10,35,141,1659,13,84,10,20,13,12,147,26,12,6,40,17,19,9,185,162,107,65,87,67,28,33,72,80,49,21,19,29,11,7,36,111,60,85,100,103,249,4,38,35,58,205,121,249,189,174,251,156,152,61,34,48,41,103,61,60,79,296,183,69,65,17
439956,timor leste import,626,Timor-Leste,8430,"Máquinas y aparatos para explanar, nivelar, traillar ""scraping"", excavar, compactar, apisonar ""aplanar"", extraer o perforar tierra o minerales; martinetes y máquinas para arrancar pilotes, estacas o simil.; quitanieves (exc. aparatos montados en vagones para ferrocarriles ""rieles"", en chasis automóviles o en camiones; máquinas autopropulsadas de la partida 8429; máquinas de elevación, carga, descarga de las partidas 8425-8428; herramientas de uso manual)",,,,,,,,,,,,,,,,16,,,,,,,,2,,2,61,,,1,16,65,83,18,7,20238,39,47,42,7,162,81,469,8,2,183,33,462,5,286,411,50,32,191,52,244,194,14,333,14,18,338,8,389,4,194,9,1,39,1057,705,21,1232,170,374,567,24,2,70,15,5,25,16,421,242,91,412,48,20,138,46,87,102,84,88,367,714,123
439956,timor leste import,626,Timor-Leste,1509,"Aceite de oliva y sus fracciones, obtenidos de la aceituna exclusivamente por medios mecánicos o físicos que no afecten al aceite, ""virgen"", incl. refinados, sin modificar químicamente",,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,1,3,3,8,2,6,4,6,4,2,39,90,19,4,5,6,2,7,,10,3,2,4,8,10,,10,6,2,16,7,19,8,36,13,13,9,10,18,18,7,24,62,27,17,27,59,14,33,43,47,47,47,87,52,122,64,43,81,41,124,23
439956,timor leste import,626,Timor-Leste,0810,"Fresas, frambuesas, zarzamoras, grosellas y demás frutos comestibles, frescos (exc. frutos de cáscara; bananas o plátanos; dátiles, higos, piñas ""ananás"", aguacates ""paltas"", guayabas, mangos y mangostanes; agrios ""cítricos""; uvas; melones, sandías y papayas; manzanas, peras y membrillos; albaricoques ""damascos, chabacanos"", cerezas, melocotones ""duraznos"", incl. los griñones y nectarinas, ciruelas y endrinas)",,,,,,,,,19,17,11,18,10,13,28,24,10,6,13,24,26,7,9,26,10,7,1,1,1,1,1,4,1,2,2,3,6,6,14,6,12,13,8,12,6,11,8,14,10,20,15,17,11,16,14,27,10,10,8,7,14,9,19,11,3,6,11,6,4,5,15,14,10,8,12,14,16,20,35,30,25,32,33,49,27,39,71,46,32,59,52,50,32,64,78,92,56,35
