date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit
2008-04-01,5.35870097870667,5.577579213975376,5.2767958242981585,4.221078095812121,4.627800617687327
2008-07-01,5.399181686387019,5.6079223477117415,5.35825822028753,4.23055052838506,4.636099525007173
2008-10-01,5.451528108313004,5.642532723121445,5.481637522609737,4.231562195297893,4.639201431733968
2009-01-01,5.513893206052467,5.651636451613286,5.618125939730619,4.224138843450387,4.63715456965338
2009-04-01,5.558864729559714,5.658886763775476,5.69312736908088,4.222920230128167,4.637460627739548
2009-07-01,5.5885683213496335,5.699683067980925,5.737472770103579,4.227929011565782,4.640117449100787
2009-10-01,5.6042893679061665,5.75441103872931,5.747198382059559,4.239072472665527,4.645106374643525
2010-01-01,5.606672488678843,5.755204420888366,5.6863591706046694,4.256148163273434,4.652392676991706
2010-04-01,5.600185643986887,5.782714588669141,5.668824555503227,4.278151468707812,4.6734722371825015
2010-07-01,5.584654016511766,5.792678309687116,5.671763150532536,4.3047580855005005,4.707496287324158
2010-10-01,5.559648013700079,5.793760243985959,5.699659672917416,4.335597586131505,4.753179067798939
2011-01-01,5.524442167062985,5.829100498312822,5.774208194193013,4.37026874084859,4.808946842103033
2011-04-01,5.501394498077036,5.828300971420203,5.804201034211447,4.403869379315979,4.862403037595249
2011-07-01,5.49138227029558,5.835005081447068,5.8167377969878915,4.436466089467682,4.913749176342975
2011-10-01,5.494801312637709,5.863526761958269,5.820410301913947,4.46811942296321,4.963161152817848
2012-01-01,5.511515430837779,5.854235792920217,5.782688818030834,4.498884603489039,5.0107934127537685
2012-04-01,5.506159791270583,5.8688775969704245,5.740426406229641,4.524210395086899,5.055159432770643
2012-07-01,5.478373056369253,5.897086173638451,5.686460258162611,4.544480044758345,5.096584873935578
2012-10-01,5.426204157939296,5.924539983620078,5.608501927222302,4.559984442842094,5.135346835012542
2013-01-01,5.345620797378097,5.892051325916739,5.451329605742787,4.5709369958401345,5.171682965818108
2013-04-01,5.2966122100525554,5.908363275466886,5.373001199084013,4.578707960644763,5.198224398392522
2013-07-01,5.284211304385306,5.927588642509192,5.3525043601393865,4.583370300157028,5.215706054781923
2013-10-01,5.309781488669588,5.939816615012958,5.384200858056905,4.5849671574048365,5.224587576039502
2014-01-01,5.370552136960509,5.923717148558412,5.44577384248492,4.583513200977091,5.225095335400145
2014-04-01,5.413906450325297,5.959156074026086,5.512457908743211,4.583445201131514,5.237875613105871
2014-07-01,5.441907280057,5.97748609579993,5.532014356443919,4.584763440435865,5.262467468839731
2014-10-01,5.455779088747134,5.982090888837832,5.5093485505092,4.587462449023826,5.298021279313665
2015-01-01,5.456099064563612,6.007684750446585,5.471515008471805,4.591531079978764,5.343391272370045
2015-04-01,5.456500236651504,5.949762862925552,5.382908675424237,4.592700328497543,5.365928066093169
2015-07-01,5.456982507287996,5.968208168311531,5.389329900517832,4.590980360139615,5.367129119362913
2015-10-01,5.457545759116251,6.014385739711832,5.448257778098128,4.586356211683081,5.347071989636739
2016-01-01,5.458189855240401,5.9920868861422365,5.470420387230003,4.578787354371521,5.304431778989548
2016-04-01,5.453278704742092,6.0138952865755595,5.509969720285598,4.573559862495661,5.300371336114758
2016-07-01,5.4427297408770015,6.029921521419932,5.524760204126854,4.570710843549781,5.335354440463207
2016-10-01,5.426362362268351,6.0237957864470895,5.501382623540581,4.570260712301998,5.405519628122187
2017-01-01,5.403887366607206,5.985554444989954,5.428025217410574,4.572212706584255,5.503980823288529
2017-04-01,5.387316468640244,5.981915695924729,5.402010864906248,4.575778347770077,5.56245460216692
