date,ln_gov_exp,ln_gdp_non,ln_imports,ln_cpi,ln_credit,shock_2006,shock_2009,shock_2012,shock_2016,shock_covid
2006-04-01,4.848640166981699,5.379369428721853,4.73243483558934,4.025391804363763,4.727366251126779,1,0,0,0,0
2006-07-01,4.96006854080522,5.383819991752656,4.850203767902728,4.043193500963921,4.718074703875655,1,0,0,0,0
2006-10-01,5.06576981136974,5.4043242879482865,4.985054188873995,4.065949918080541,4.690220841345935,1,0,0,0,0
2007-01-01,5.166289582139774,5.439923525386377,5.129348163373793,4.093323506767622,4.642193468813098,1,0,0,0,0
2007-04-01,5.238949470119436,5.472830564448534,5.218792054251999,4.120726618237721,4.609378201623697,1,0,0,0,0
2007-07-01,5.288915470382112,5.503264787263701,5.2659147052355,4.148137171910769,4.593372180526561,1,0,0,0,0
2007-10-01,5.319259632185855,5.531415216123821,5.276297730209755,4.175534813364006,4.594999126261759,0,0,0,0,0
2008-01-01,5.331677483453141,5.557445562401564,5.2510870487433,4.20290082169658,4.61417392953669,0,0,0,0,0
2008-04-01,5.35870097870667,5.582850763101833,5.279932487005937,4.221078095812121,4.627800617687327,0,0,0,0,0
2008-07-01,5.399181686387019,5.607660912370206,5.358440461833556,4.23055052838506,4.636099525007173,0,0,0,0,0
2008-10-01,5.451528108313004,5.6319039806231626,5.475978237827849,4.231562195297893,4.639201431733968,0,0,0,0,0
2009-01-01,5.513893206052467,5.655606009796004,5.6197788443837435,4.224138843450387,4.63715456965338,0,1,0,0,0
2009-04-01,5.558864729559714,5.679511167310995,5.703292953748299,4.222920230128167,4.637460627739548,0,1,0,0,0
2009-07-01,5.5885683213496335,5.703592219011383,5.739659303851801,4.227929011565782,4.640117449100787,0,1,0,0,0
2009-10-01,5.6042893679061665,5.727823438920501,5.73380779671145,4.239072472665527,4.645106374643525,0,1,0,0,0
2010-01-01,5.606672488678843,5.7521805800680506,5.684974687414176,4.256148163273434,4.652392676991706,0,1,0,0,0
2010-04-01,5.600185643986887,5.773361680269601,5.663429583863448,4.278151468707812,4.6734722371825015,0,1,0,0,0
