date,gov_expenditure_real,gdp_non_oil_real,imports_real,cpi,private_credit
2013-07-01,197.1985924341708,372.67938215336227,209.79084356625333,97.84360143713224,184.14178928275126
2013-10-01,202.30601740101014,377.1721748255634,216.52350189947347,97.99996851596298,185.78453273062078
2014-01-01,214.98153419209817,382.57308393050226,236.24384623305016,97.85758436707776,185.87889051967534
2014-04-01,224.506901941694,386.883946000277,247.55228764326077,97.85093029269292,188.26971954742763
2014-07-01,230.88212064979788,390.10476103488725,250.44882613010518,97.98000629280847,192.95701981387768
2014-10-01,234.10719031640997,392.2355290343335,244.93346169358378,98.24481236742436,199.94079131902552
2015-01-01,234.18211094152983,393.27624999861547,231.00619433369621,98.64534851654066,209.22103406287127
2015-04-01,234.2760771149658,395.41028648488196,223.72123071626277,98.76075690157137,213.9897391752618
2015-07-01,234.38908883671797,398.63763849313324,223.07857084128324,98.59103752251649,214.2469066561974
2015-10-01,234.5211461067864,402.9583060233693,229.07821470875783,98.13619037937603,209.99253650567792
2016-01-01,234.67224892517098,408.37228907559006,241.72016231868642,97.39621547215005,201.22662872370344
2016-04-01,233.5225636424564,411.0038594662423,248.14491136518333,96.88840598840005,200.41121608143305
2016-07-01,231.0720902586427,410.8530171953261,248.35246184824842,96.61276192812615,207.54629857886695
2016-10-01,227.32082877373003,407.9197622628419,242.3428137678821,96.56928329132828,222.63187621600503
2017-01-01,222.2687791877183,402.2040946687893,230.11596712408402,96.75797007800644,245.66794899284724
2017-04-01,218.6159349682263,397.6378125636526,222.60458956693128,97.10359009347559,260.461381386446
2017-07-01,216.36229611525394,394.2209159474315,219.80868109642353,97.60614333773576,267.01217339680164
2017-10-01,215.5078626288016,391.95340482012665,221.72824171256124,98.26562981078688,265.3203250239136
2018-01-01,216.052634508869,390.8352791817376,228.36327141534417,99.08204951262903,255.38583626778245
2018-04-01,216.87701395734834,391.91565975368695,231.70636691031964,99.77579758831475,249.2001118182178
2018-07-01,217.98100097423972,395.19454653597467,231.75752819748774,100.34687403784407,246.76315167521997
2018-10-01,219.36459555954292,400.6719395286006,228.51675527684836,100.79527886121707,248.074955838789
2019-01-01,221.02779771325794,408.34783873156465,221.9840481484014,101.12101205843364,253.1355243089246
2019-04-01,223.0677547994408,410.1517195201245,216.65693544766214,101.35290051394732,259.3591653334099
2019-07-01,225.4844668180914,406.08358189427975,212.53541717463028,101.49094422775816,266.7458789122451
2019-10-01,228.27793376920994,396.1434258540311,209.61949332930615,101.5351431998662,275.29566504543
2020-01-01,231.44815565279623,380.3312513993778,207.90916391168943,101.48549743027134,285.0085237329646
2020-04-01,234.2951446851123,370.1836436577655,204.12365435996702,101.6847734703254,291.0198582347935
2020-07-01,236.81890086615806,365.7006026291938,198.26296467413877,102.1329713200284,293.3296685509167
2020-10-01,239.01942419593362,366.88212831366326,190.32709485420494,102.8300909793803,291.93795468133425
2021-01-01,240.89671467443898,373.72822071117366,180.31604490016537,103.77613244838115,286.8447166260462
2021-04-01,242.16491855606554,379.69419758570825,177.17488016848338,104.93076273662956,291.52201467351347
2021-07-01,242.82403584081325,384.78005893726726,180.903600659159,106.29398184412555,305.96984882373624
2021-10-01,242.87406652868216,388.9858047658508,191.50220637219226,107.86578977086907,330.1882190767145
2022-01-01,242.31501061967225,392.31143507145845,208.9706973075831,109.64618651686017,364.1771254324481
2022-04-01,241.74711097819943,395.4736049651182,222.07087892870624,111.52653728851311,395.4014378017635
2022-07-01,241.17036760426348,398.4723144468297,230.80275123556146,113.50684208582787,423.86115618466056
2022-10-01,240.584780497865,401.30756351659403,235.16631422814942,115.58710090880442,449.5562805811393
2023-01-01,239.99034965900367,403.97935217441056,235.1615679064697,117.76731375744286,472.4868109911999
2023-04-01,239.54452652985768,405.983193667773,235.15800816520996,119.40247339392162,489.6847087987452
2023-07-01,239.2473111104271,407.3190879966813,235.15563500437017,120.49257981824084,501.14997400377547
2023-10-01,239.0987034007116,407.9870351611353,235.15444842395016,121.03763303040043,506.8826066062906
